samples	TC	bombus.count	non.bombus	tip
JN872250_Nosema_sp._Bombus_friseanus	1	1	0	JN872250_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872251_Nosema_sp._Bombus_friseanus	1	1	0	JN872251_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872252_Nosema_sp._Bombus_festivus	5	5	0	JN872252_Nosema_sp._Bombus_festivus (Tot seq=5)
JN872253_Nosema_sp._Bombus_pyrosoma	1	1	0	JN872253_Nosema_sp._Bombus_pyrosoma (Tot seq=1)
JN872254_Nosema_sp._Bombus_festivus	1	1	0	JN872254_Nosema_sp._Bombus_festivus (Tot seq=1)
JN872260_Nosema_ceranae_Bombus_sibiricus	5	5	0	JN872260_Nosema_ceranae_Bombus_sibiricus (Tot seq=5)
JN872262_Nosema_ceranae_Bombus_waltoni	1	1	0	JN872262_Nosema_ceranae_Bombus_waltoni (Tot seq=1)
JN872265_Nosema_ceranae_Bombus_sibiricus	1	1	0	JN872265_Nosema_ceranae_Bombus_sibiricus (Tot seq=1)
JN872271_Nosema_ceranae_Bombus_impetuosus	3	3	0	JN872271_Nosema_ceranae_Bombus_impetuosus (Tot seq=3)
JN872274_Nosema_sp._Bombus_sibiricus	7	7	0	JN872274_Nosema_sp._Bombus_sibiricus (Tot seq=7)
JN872275_Nosema_sp._Bombus_sibiricus	1	1	0	JN872275_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872278_Nosema_sp._Bombus_sibiricus	1	1	0	JN872278_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872279_Nosema_sp._Bombus_friseanus	1	1	0	JN872279_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872281_Nosema_sp._Bombus_sibiricus	1	1	0	JN872281_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872282_Nosema_sp._Bombus_sibiricus	1	1	0	JN872282_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872283_Nosema_sp._Bombus_sibiricus	1	1	0	JN872283_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872285_Nosema_sp._Bombus_patagiatus	1	1	0	JN872285_Nosema_sp._Bombus_patagiatus (Tot seq=1)
JN872286_Nosema_sp._Bombus_patagiatus	1	1	0	JN872286_Nosema_sp._Bombus_patagiatus (Tot seq=1)
JN872288_Nosema_sp._Bombus_sibiricus	1	1	0	JN872288_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872289_Nosema_sp._Bombus_sibiricus	1	1	0	JN872289_Nosema_sp._Bombus_sibiricus (Tot seq=1)
JN872290_Nosema_sp._Bombus_remotus	1	1	0	JN872290_Nosema_sp._Bombus_remotus (Tot seq=1)
JN872291_Nosema_sp._Bombus_friseanus	1	1	0	JN872291_Nosema_sp._Bombus_friseanus (Tot seq=1)
JN872292_Nosema_sp._Bombus_flavescens	1	1	0	JN872292_Nosema_sp._Bombus_flavescens (Tot seq=1)
MI10.001_Bombus_terricola_12	1	1	0	MI10.001_Bombus_terricola_12 (Tot seq=1)
MI10.001_Bombus_terricola_3	1	1	0	MI10.001_Bombus_terricola_3 (Tot seq=1)
MI10.001_Bombus_terricola_8	1	1	0	MI10.001_Bombus_terricola_8 (Tot seq=1)
MT764044_Bombus_occidentalis_15	2	2	0	MT764044_Bombus_occidentalis_15 (Tot seq=2)
MT764044_Bombus_occidentalis_16	1	1	0	MT764044_Bombus_occidentalis_16 (Tot seq=1)
MT764044_Bombus_occidentalis_4	1	1	0	MT764044_Bombus_occidentalis_4 (Tot seq=1)
MT764044_Bombus_occidentalis_7	1	1	0	MT764044_Bombus_occidentalis_7 (Tot seq=1)
NC09.685_Bombus_bimaculatus_12	1	1	0	NC09.685_Bombus_bimaculatus_12 (Tot seq=1)
NC09.685_Bombus_bimaculatus_3	1	1	0	NC09.685_Bombus_bimaculatus_3 (Tot seq=1)
SK_B18_Bombus_terrestris_1	2	2	0	SK_B18_Bombus_terrestris_1 (Tot seq=2)
SK_B18_Bombus_terrestris_3	1	1	0	SK_B18_Bombus_terrestris_3 (Tot seq=1)
TX08.464_Bombus_pensylvanicus_15	1	1	0	TX08.464_Bombus_pensylvanicus_15 (Tot seq=1)
TX08.464_Bombus_pensylvanicus_2	2	2	0	TX08.464_Bombus_pensylvanicus_2 (Tot seq=2)
TX08.464_Bombus_pensylvanicus_3	1	1	0	TX08.464_Bombus_pensylvanicus_3 (Tot seq=1)
TX08.464_Bombus_pensylvanicus_8	1	1	0	TX08.464_Bombus_pensylvanicus_8 (Tot seq=1)
TX08.886_Bombus_pensylvanicus_5	1	1	0	TX08.886_Bombus_pensylvanicus_5 (Tot seq=1)
U11047_Nosema_vespula_Direct_Submission	1	0	1	U11047_Nosema_vespula_Direct_Submission (Tot seq=1)
U27359_Nosema_oulemae_Oulema_melanopus	1	0	1	U27359_Nosema_oulemae_Oulema_melanopus (Tot seq=1)
U97150_Nosema_apis_Apis_mellifera	1	0	1	U97150_Nosema_apis_Apis_mellifera (Tot seq=1)
WY764699_Bombus_occidentalis_14	1	1	0	WY764699_Bombus_occidentalis_14 (Tot seq=1)
WY764699_Bombus_occidentalis_15	1	1	0	WY764699_Bombus_occidentalis_15 (Tot seq=1)
